country,gov_score,Organizational Structure,Strategic Planning,Policy Development,Partner Coordination,HIS Financing,Supervision National,Supervision Subnational,datagen_score,iso3,his_maturity_index,maturity_band,year,source
Angola,60.1,85.0,53.0,20.0,88.0,20.0,77.0,78.0,62.2,AGO,61.2,advanced,2026,WHO AFRO HISFA Report 2026 (Tables 2 & 4)
Benin,52.7,82.0,17.0,18.0,60.0,47.0,67.0,78.0,50.0,BEN,51.4,early,2026,WHO AFRO HISFA Report 2026 (Tables 2 & 4)
Botswana,30.3,10.0,59.0,4.0,38.0,33.0,30.0,38.0,62.9,BWA,46.6,early,2026,WHO AFRO HISFA Report 2026 (Tables 2 & 4)
Burkina Faso,76.4,90.0,81.0,82.0,90.0,20.0,87.0,85.0,70.0,BFA,73.2,advanced,2026,WHO AFRO HISFA Report 2026 (Tables 2 & 4)
Burundi,60.0,78.0,76.0,69.0,82.0,40.0,30.0,45.0,65.0,BDI,62.5,advanced,2026,WHO AFRO HISFA Report 2026 (Tables 2 & 4)
Cabo Verde,43.1,38.0,67.0,79.0,58.0,20.0,0.0,40.0,48.0,CPV,45.6,early,2026,WHO AFRO HISFA Report 2026 (Tables 2 & 4)
Cameroon,42.9,82.0,25.0,27.0,28.0,20.0,53.0,65.0,62.2,CMR,52.6,early,2026,WHO AFRO HISFA Report 2026 (Tables 2 & 4)
Chad,64.7,82.0,78.0,77.0,72.0,20.0,60.0,64.0,65.7,TCD,65.2,advanced,2026,WHO AFRO HISFA Report 2026 (Tables 2 & 4)
Comoros,35.7,52.0,29.0,0.0,32.0,20.0,47.0,70.0,65.7,COM,50.7,early,2026,WHO AFRO HISFA Report 2026 (Tables 2 & 4)
Congo,32.7,62.0,23.0,0.0,20.0,58.0,33.0,,55.0,COG,43.8,early,2026,WHO AFRO HISFA Report 2026 (Tables 2 & 4)
Cote d'Ivoire,56.0,82.0,70.0,60.0,48.0,27.0,53.0,52.0,54.0,,55.0,early,2026,WHO AFRO HISFA Report 2026 (Tables 2 & 4)
Eritrea,66.4,65.0,78.0,57.0,75.0,53.0,67.0,70.0,45.7,ERI,56.0,early,2026,WHO AFRO HISFA Report 2026 (Tables 2 & 4)
Eswatini,51.3,52.0,65.0,0.0,60.0,20.0,77.0,85.0,60.0,SWZ,55.6,early,2026,WHO AFRO HISFA Report 2026 (Tables 2 & 4)
Ethiopia,63.7,70.0,81.0,87.0,70.0,33.0,43.0,62.0,80.0,ETH,71.8,advanced,2026,WHO AFRO HISFA Report 2026 (Tables 2 & 4)
Gabon,34.9,52.0,47.0,49.0,45.0,33.0,3.0,15.0,60.0,GAB,47.4,early,2026,WHO AFRO HISFA Report 2026 (Tables 2 & 4)
