domain,predictor,label,outcome_at_min,outcome_at_max,baseline,effect,status
child,malaria,Malaria,7.63,11.38,8.6,0.436047,effective
child,pneumonia,Pneumonia,7.63,11.38,8.6,0.436047,effective
child,diarrhoea,Diarrhoea,7.63,11.38,8.6,0.436047,effective
child,travel_time,Travel time to care,7.63,11.38,8.6,0.436047,effective
child,nutrition,Nutrition,10.72,7.18,8.6,0.411628,effective
child,water,Safe water,10.72,7.18,8.6,0.411628,effective
child,sanitation,Sanitation,10.72,7.18,8.6,0.411628,effective
child,maternal_education,Maternal education,10.72,7.18,8.6,0.411628,effective
child,facility_readiness,Facility readiness,10.72,7.18,8.6,0.411628,effective
child,chw_density,Community health workers,10.72,7.18,8.6,0.411628,effective
child,ors_zinc,ORS + zinc (diarrhoea),8.6,8.08,8.6,0.060465,effective
child,exclusive_bf,Exclusive breastfeeding,8.6,8.16,8.6,0.051163,effective
child,careseeking_pneumonia,Pneumonia careseeking,8.6,8.24,8.6,0.04186,effective
child,itn_use,ITN use (malaria),8.6,8.26,8.6,0.039535,effective
child,vitamin_a,Vitamin A,8.6,8.37,8.6,0.026744,effective
child,rota,Rotavirus vaccine,8.6,8.38,8.6,0.025581,effective
child,pcv,PCV (pneumococcal),8.6,8.4,8.6,0.023256,effective
child,measles,Measles immunisation,8.6,8.46,8.6,0.016279,effective
child,dtp3,DTP3 immunisation,8.6,8.52,8.6,0.009302,effective
hiv,viral_suppression,Viral suppression (95-95-95 end-point),2.3714,0.0949,0.557,4.087074,effective
hiv,condom_use,Condom use,0.9806,0.1961,0.557,1.408438,effective
hiv,sti_prevalence,STI prevalence,0.4207,0.9255,0.557,0.906284,effective
hiv,conflict,Conflict,0.557,0.8309,0.557,0.491741,effective
hiv,covid,COVID disruption,0.557,0.8309,0.557,0.491741,effective
hiv,floods,Floods,0.557,0.8309,0.557,0.491741,effective
hiv,drug_stockouts,Drug stockouts,0.557,0.8309,0.557,0.491741,effective
hiv,refugee_influx,Refugee influx,0.557,0.8309,0.557,0.491741,effective
hiv,stockout_rates,Stockout rates,0.494,0.737,0.557,0.436266,effective
hiv,adolescent_fertility,Adolescent fertility,0.494,0.737,0.557,0.436266,effective
hiv,tb_incidence,TB incidence,0.494,0.737,0.557,0.436266,effective
hiv,malaria_prevalence,Malaria prevalence,0.494,0.737,0.557,0.436266,effective
hiv,hepatitis,Hepatitis,0.494,0.737,0.557,0.436266,effective
hiv,urbanization,Urbanization,0.494,0.737,0.557,0.436266,effective
hiv,migration,Migration,0.494,0.737,0.557,0.436266,effective
hiv,youth_unemployment,Youth unemployment,0.494,0.737,0.557,0.436266,effective
hiv,travel_time,Travel time to care,0.494,0.737,0.557,0.436266,effective
hiv,workforce_density,Health-workforce density,0.6941,0.4652,0.557,0.410952,effective
hiv,lab_capacity,Laboratory capacity,0.6941,0.4652,0.557,0.410952,effective
hiv,viral_load_testing,Viral-load testing,0.6941,0.4652,0.557,0.410952,effective
hiv,chw_density,Community health workers,0.6941,0.4652,0.557,0.410952,effective
hiv,contraceptive_prevalence,Contraceptive prevalence,0.6941,0.4652,0.557,0.410952,effective
